Last updated,States,Total Confirmed Cases,Active,Cured/Discharged/Migrated,Death,last_confirmed_covid_cases,last_cured_discharged,last_death,last_active_covid_cases,key
"04 Jan 2023, 08:00 IST (GMT+5:30)",Arunachal Pradesh,66891,1,66594,296,66890,66594,296,0,"04 Jan 2023, 08:00 IST (GMT+5:30)Arunachal Pradesh"
"04 Jan 2023, 08:00 IST (GMT+5:30)",Assam,746100,0,738065,8035,746100,738065,8035,0,"04 Jan 2023, 08:00 IST (GMT+5:30)Assam"
"04 Jan 2023, 08:00 IST (GMT+5:30)",Bihar,851400,17,839081,12302,851397,839077,12302,18,"04 Jan 2023, 08:00 IST (GMT+5:30)Bihar"
"04 Jan 2023, 08:00 IST (GMT+5:30)",Chandigarh,99351,5,98165,1181,99351,98164,1181,6,"04 Jan 2023, 08:00 IST (GMT+5:30)Chandigarh"
"04 Jan 2023, 08:00 IST (GMT+5:30)",Chhattisgarh,1177759,10,1163603,14146,1177758,1163603,14146,9,"04 Jan 2023, 08:00 IST (GMT+5:30)Chhattisgarh"
"04 Jan 2023, 08:00 IST (GMT+5:30)",Dadra and Nagar Haveli and Daman and Diu,11591,0,11587,4,11591,11587,4,0,"04 Jan 2023, 08:00 IST (GMT+5:30)Dadra and Nagar Haveli and Daman and Diu"
"04 Jan 2023, 08:00 IST (GMT+5:30)",Delhi,2007244,34,1980689,26521,2007237,1980684,26521,32,"04 Jan 2023, 08:00 IST (GMT+5:30)Delhi"
"04 Jan 2023, 08:00 IST (GMT+5:30)",Goa,259086,15,255058,4013,259085,255055,4013,17,"04 Jan 2023, 08:00 IST (GMT+5:30)Goa"
"04 Jan 2023, 08:00 IST (GMT+5:30)",Gujarat,1277586,39,1266504,11043,1277578,1266499,11043,36,"04 Jan 2023, 08:00 IST (GMT+5:30)Gujarat"
"04 Jan 2023, 08:00 IST (GMT+5:30)",Haryana,1056623,42,1045867,10714,1056620,1045864,10714,42,"04 Jan 2023, 08:00 IST (GMT+5:30)Haryana"
"04 Jan 2023, 08:00 IST (GMT+5:30)",Himachal Pradesh,312657,17,308427,4213,312655,308426,4213,16,"04 Jan 2023, 08:00 IST (GMT+5:30)Himachal Pradesh"
"04 Jan 2023, 08:00 IST (GMT+5:30)",Jammu and Kashmir,479427,23,474619,4785,479426,474618,4785,23,"04 Jan 2023, 08:00 IST (GMT+5:30)Jammu and Kashmir"
"04 Jan 2023, 08:00 IST (GMT+5:30)",Jharkhand,442572,3,437238,5331,442571,437238,5331,2,"04 Jan 2023, 08:00 IST (GMT+5:30)Jharkhand"
"04 Jan 2023, 08:00 IST (GMT+5:30)",Karnataka,4072110,308,4031494,40308,4072091,4031488,40308,295,"04 Jan 2023, 08:00 IST (GMT+5:30)Karnataka"
"04 Jan 2023, 08:00 IST (GMT+5:30)",Kerala,6828609,1419,6755632,71558,6828566,6755573,71558,1435,"04 Jan 2023, 08:00 IST (GMT+5:30)Kerala"
"04 Jan 2023, 08:00 IST (GMT+5:30)",Ladakh,29412,0,29181,231,29412,29181,231,0,"04 Jan 2023, 08:00 IST (GMT+5:30)Ladakh"
"04 Jan 2023, 08:00 IST (GMT+5:30)",Lakshadweep,11415,0,11363,52,11415,11363,52,0,"04 Jan 2023, 08:00 IST (GMT+5:30)Lakshadweep"
"04 Jan 2023, 08:00 IST (GMT+5:30)",Maharashtra,8136709,136,7988156,148417,8136687,7988111,148417,159,"04 Jan 2023, 08:00 IST (GMT+5:30)Maharashtra"
"04 Jan 2023, 08:00 IST (GMT+5:30)",Manipur,139924,2,137773,2149,139923,137773,2149,1,"04 Jan 2023, 08:00 IST (GMT+5:30)Manipur"
"04 Jan 2023, 08:00 IST (GMT+5:30)",Meghalaya,96784,1,95159,1624,96783,95158,1624,1,"04 Jan 2023, 08:00 IST (GMT+5:30)Meghalaya"
"04 Jan 2023, 08:00 IST (GMT+5:30)",Mizoram,238964,0,238238,726,238964,238238,726,0,"04 Jan 2023, 08:00 IST (GMT+5:30)Mizoram"
"04 Jan 2023, 08:00 IST (GMT+5:30)",Madhya Pradesh,1054920,5,1044139,10776,1054920,1044139,10776,5,"04 Jan 2023, 08:00 IST (GMT+5:30)Madhya Pradesh"
"04 Jan 2023, 08:00 IST (GMT+5:30)",Nagaland,35986,0,35204,782,35986,35204,782,0,"04 Jan 2023, 08:00 IST (GMT+5:30)Nagaland"
"04 Jan 2023, 08:00 IST (GMT+5:30)",Odisha,1336567,86,1327276,9205,1336566,1327273,9205,88,"04 Jan 2023, 08:00 IST (GMT+5:30)Odisha"
"04 Jan 2023, 08:00 IST (GMT+5:30)",Puducherry,175526,19,173532,1975,175521,173530,1975,16,"04 Jan 2023, 08:00 IST (GMT+5:30)Puducherry"
"04 Jan 2023, 08:00 IST (GMT+5:30)",Punjab,784228,26,764913,19289,784225,764905,19289,31,"04 Jan 2023, 08:00 IST (GMT+5:30)Punjab"
"04 Jan 2023, 08:00 IST (GMT+5:30)",Rajasthan,1315507,60,1305794,9653,1315492,1305791,9653,48,"04 Jan 2023, 08:00 IST (GMT+5:30)Rajasthan"
"04 Jan 2023, 08:00 IST (GMT+5:30)",Sikkim,44319,0,43820,499,44319,43820,499,0,"04 Jan 2023, 08:00 IST (GMT+5:30)Sikkim"
"04 Jan 2023, 08:00 IST (GMT+5:30)",Tamil Nadu,3594466,89,3556328,38049,3594456,3556318,38049,89,"04 Jan 2023, 08:00 IST (GMT+5:30)Tamil Nadu"
"04 Jan 2023, 08:00 IST (GMT+5:30)",Telengana,841379,67,837201,4111,841371,837196,4111,64,"04 Jan 2023, 08:00 IST (GMT+5:30)Telengana"
"04 Jan 2023, 08:00 IST (GMT+5:30)",Tripura,108034,0,107094,940,108034,107094,940,0,"04 Jan 2023, 08:00 IST (GMT+5:30)Tripura"
"04 Jan 2023, 08:00 IST (GMT+5:30)",Uttar Pradesh,2128128,46,2104449,23633,2128126,2104442,23633,51,"04 Jan 2023, 08:00 IST (GMT+5:30)Uttar Pradesh"
"04 Jan 2023, 08:00 IST (GMT+5:30)",Uttarakhand,449405,33,441620,7752,449398,441611,7752,35,"04 Jan 2023, 08:00 IST (GMT+5:30)Uttarakhand"
"04 Jan 2023, 08:00 IST (GMT+5:30)",West Bengal,2118634,58,2097044,21532,2118626,2097039,21532,55,"04 Jan 2023, 08:00 IST (GMT+5:30)West Bengal"
